 Year | Jan  | Feb  | Mar  | Apr  | May  | Jun  | Jul  | Aug  | Sep  | Oct  | Nov  | Dec  | J-D  | D-N  | DJF  | MAM  | JJA  | SON  | Year
 1880 | 31.7 | 31.6 | 31.9 | 31.7 | 31.8 | 31.6 | 31.7 | 31.9 | 31.8 | 31.6 | 31.6 | 31.7 | 31.7 | NaaN | NaaN | 31.8 | 31.7 | 31.7 | 65.8
 1881 | 31.7 | 31.8 | 32.1 | 32.1 | 32.1 | 31.7 | 32.0 | 31.9 | 31.7 | 31.6 | 31.7 | 31.9 | 31.9 | 31.9 | 31.7 | 32.1 | 31.9 | 31.7 | 65.9
 1882 | 32.3 | 32.3 | 32.1 | 31.7 | 31.8 | 31.6 | 31.7 | 31.9 | 31.8 | 31.6 | 31.7 | 31.4 | 31.8 | 31.9 | 32.2 | 31.9 | 31.7 | 31.7 | 65.9
 1883 | 31.5 | 31.4 | 31.8 | 31.7 | 31.7 | 31.9 | 31.9 | 31.8 | 31.6 | 31.8 | 31.6 | 31.8 | 31.7 | 31.7 | 31.4 | 31.7 | 31.9 | 31.7 | 65.9
 1884 | 31.8 | 31.9 | 31.4 | 31.3 | 31.4 | 31.4 | 31.5 | 31.5 | 31.5 | 31.6 | 31.4 | 31.5 | 31.5 | 31.5 | 31.8 | 31.4 | 31.5 | 31.5 | 65.9
 1885 | 31.0 | 31.4 | 31.5 | 31.3 | 31.2 | 31.2 | 31.4 | 31.4 | 31.5 | 31.6 | 31.6 | 31.8 | 31.4 | 31.4 | 31.3 | 31.3 | 31.4 | 31.6 | 65.9
 1886 | 31.2 | 31.1 | 31.2 | 31.5 | 31.6 | 31.4 | 31.7 | 31.5 | 31.6 | 31.5 | 31.5 | 31.6 | 31.4 | 31.5 | 31.4 | 31.4 | 31.5 | 31.5 | 65.9
 1887 | 30.7 | 31.0 | 31.4 | 31.4 | 31.5 | 31.6 | 31.6 | 31.4 | 31.6 | 31.4 | 31.5 | 31.4 | 31.4 | 31.4 | 31.1 | 31.4 | 31.5 | 31.5 | 66.0
 1888 | 31.4 | 31.4 | 31.3 | 31.6 | 31.6 | 31.7 | 31.8 | 31.7 | 31.8 | 32.0 | 32.1 | 31.9 | 31.7 | 31.7 | 31.4 | 31.5 | 31.7 | 32.0 | 66.0
 1889 | 31.9 | 32.3 | 32.1 | 32.2 | 32.0 | 31.8 | 31.9 | 31.6 | 31.6 | 31.6 | 31.4 | 31.5 | 31.8 | 31.9 | 32.0 | 32.1 | 31.8 | 31.5 | 66.0
 1890 | 31.3 | 31.2 | 31.3 | 31.5 | 31.3 | 31.6 | 31.5 | 31.3 | 31.4 | 31.6 | 31.2 | 31.4 | 31.4 | 31.4 | 31.3 | 31.4 | 31.5 | 31.4 | 66.0
 1891 | 31.4 | 31.2 | 31.7 | 31.5 | 31.7 | 31.6 | 31.7 | 31.7 | 31.7 | 31.6 | 31.5 | 31.9 | 31.6 | 31.6 | 31.3 | 31.6 | 31.7 | 31.6 | 66.0
 1892 | 31.5 | 31.8 | 31.3 | 31.4 | 31.6 | 31.6 | 31.4 | 31.5 | 31.7 | 31.8 | 31.3 | 31.3 | 31.5 | 31.6 | 31.7 | 31.4 | 31.5 | 31.6 | 66.1
 1893 | 30.6 | 31.0 | 31.6 | 31.5 | 31.4 | 31.6 | 31.8 | 31.6 | 31.6 | 31.7 | 31.7 | 31.4 | 31.4 | 31.4 | 31.0 | 31.5 | 31.6 | 31.7 | 66.1
 1894 | 31.1 | 31.5 | 31.6 | 31.2 | 31.4 | 31.3 | 31.6 | 31.6 | 31.5 | 31.6 | 31.5 | 31.6 | 31.4 | 31.4 | 31.3 | 31.4 | 31.5 | 31.5 | 66.1
 1895 | 31.2 | 31.2 | 31.4 | 31.6 | 31.5 | 31.6 | 31.7 | 31.7 | 31.8 | 31.8 | 31.7 | 31.8 | 31.6 | 31.6 | 31.4 | 31.5 | 31.7 | 31.8 | 66.1
 1896 | 31.6 | 31.8 | 31.6 | 31.5 | 31.7 | 31.8 | 32.0 | 31.9 | 31.9 | 32.1 | 31.9 | 31.9 | 31.8 | 31.8 | 31.7 | 31.6 | 31.9 | 32.0 | 66.1
 1897 | 31.7 | 31.7 | 31.8 | 32.0 | 32.0 | 31.8 | 32.0 | 31.9 | 31.9 | 31.8 | 31.7 | 31.6 | 31.8 | 31.8 | 31.8 | 31.9 | 31.9 | 31.8 | 66.1
 1898 | 32.0 | 31.5 | 31.1 | 31.5 | 31.5 | 31.7 | 31.6 | 31.5 | 31.6 | 31.4 | 31.3 | 31.6 | 31.5 | 31.5 | 31.7 | 31.3 | 31.6 | 31.4 | 66.2
 1899 | 31.7 | 31.3 | 31.4 | 31.6 | 31.6 | 31.4 | 31.7 | 31.9 | 31.9 | 31.9 | 32.2 | 31.5 | 31.7 | 31.7 | 31.6 | 31.5 | 31.7 | 32.0 | 66.2
 1900 | 31.4 | 31.9 | 32.0 | 31.9 | 31.9 | 31.8 | 31.8 | 31.9 | 31.9 | 32.2 | 31.9 | 31.9 | 31.9 | 31.8 | 31.6 | 31.9 | 31.8 | 32.0 | 66.2
 1901 | 31.6 | 31.8 | 32.1 | 31.9 | 31.7 | 31.8 | 31.7 | 31.6 | 31.6 | 31.5 | 31.7 | 31.5 | 31.7 | 31.7 | 31.8 | 31.9 | 31.7 | 31.6 | 66.2
